item,articulo,descripcion,precio
20,ANILLO,"Anillo grande de corazón hueco con brillantes pedrería, Joyería de aleación elegante, Estilo sencillo, Conjunto de anillos de nudillo para mujeres",$8.70
21,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$8.70
22,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$7.45
22,TOBILLERA COMPLETA,"Tobillera Minimalista Con Anillo Para El Dedo Del Pie, Pulsera Minimalista Para El Tobillo, Cadena Trasera Para El Pie, Decoración De Joyería, 1 Ud.",$7.35
22,ANILLO DE PIE,Anillo de dedo del pie.,$8.70
23,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$8.35
24,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$10.60
25,ANILLO GRANDE,Anillo grande de acero inoxidable.,$13.95
26,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$7.23
27,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$8.35
27,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$9.48
28,ARETE TREPADOR,"Pendientes vintage de hoja de plata, clip para oreja sin perforación.",$7.45
29,CONJUNTO ARETE TREPADOR,Conjunto de Pendientes Colgantes,$7.45
30,EAR CUFF,"Set de Aretes Metálicos, clip para oreja sin perforación.",$9.48
31,EAR CUFF,"Aretes de Clip de Hierro Duradero con Lujoso Baño de Oro de 14 Quilates, clip para oreja sin perforación.",$9.95
32,EAR CUFF,Conjunto de Pendientes De Clip para orejas Sin Perforación.,$5.70
33,ARETES,Pendiente con baño en Oro de 14K y Brillantes Circonitas.,$7.45
33,ARETES,Pendiente con baño en Oro de 14K y Brillantes Circonitas.,$7.45
34,EAR CUFF,"Set de Ear Cuffs, Clips para orejas Sin Perforaciones.",$5.85
34,EAR CUFF,"Set de Ear Cuffs, Clips para orejas Sin Perforaciones.",$6.45
35,EAR CUFF,Pendientes de estrella de cobre.,$8.93
36,ARETE TREPADOR,Ear Cuff De Cobre,$7.23
37,EAR CUFF,"Pendientes Set, Clip para orejas sin perforación.",$8.68
37,EAR CUFF,"Pendientes Set, Clip para orejas sin perforación.",$7.45
38,ARETE TREPADOR,"Pendiente trepador, clip para orejas sin perforar.",$9.95
39,ARETE DE LABIO,"Juego de arete para nariz, oreja, labio, sin perforación, Acero Inoxidable.",$7.45
40,ARETE DE LABIO,"Juego de arete para labio, sin perforación, Acero Inoxidable.",$6.78
40,ARETE DE LABIO,"Juego de arete para labio, sin perforación, Acero Inoxidable.",$7.23
41,ARETES DE NARIZ,"Arete de nariz, sin perforación, de cobre, flexible, en forma de U.",$7.45
42,ARETE DE NARIZ,Arete de Nariz sin Perforación.,$7.45
43,ARETE DE NARIZ,Arete de Nariz sin Perforación.,$7.45
44,ANILLO GIRATORIO,"Anillo Giratorio con Zircón Redondo, Diseño Ajustable.",$13.70
44,ANILLO GIRATORIO,"Anillo Giratorio con Zircón Redondo, Diseño Ajustable.",$13.70
45,ANILLO DE UÑA,Anillo de uña Con Diseño De Flor.,$8.70
45,EAR CUFF,"Ear cuff, clip para orejas sin perforación.",$5.70
45,EAR CUFF,"Ear cuff, clip para orejas sin perforación.",$5.70
46,ARETE DE NARIZ,Arete de Nariz sin Perforación.,$7.43
47,ARETE DE NARIZ,Arete de Nariz sin Perforación.,$7.45
48,ANILLO DE UÑA,Anillo De Uñas De Cobre Y Circonita.,$8.35
49,ANILLO DE UÑA,Juego de Anillos ajustables para Uñas.,$14.93
50,ANILLO,"Anillo con diseño de luna y sol, anillo decorativo de circonita.",$8.70
51,ANILLO GRANDE,"Anillo grande de flores vintage, Aleación de zinc.",$8.45
52,ANILLO DE UÑAS,"Anillo de uñas de aleación para mujeres, accesorio de moda, anillo de uñas para los dedos, joyería punk, encanto para fiestas de chicas",$7.60
53,ANILLO DE UÑAS,Anillo ajustable para uñas.,$7.45
54,ANILLO DE UÑAS,Anillo ajustable para uñas.,$17.45
55,ANILLO GRANDE,"Anillo grande de flores vintage, ajustable.",$8.70
55,ANILLO GRANDE,"Anillo grande de flores vintage, ajustable.",$8.70
56,ANILLO DE UÑAS,Anillo para uñas.,$8.70
57,ANILLO DE UÑAS,Anillo ajustable para uñas.,$8.70
58,ANILLO GRANDE,"Anillo grande, ajustable.",$8.43
59,ANILLO GRANDE,"Anillo De Flor De Cuatro Hojas De Circonitas, diseño para Hombres Y Mujeres",$11.95
60,ANILLO GRANDE,"Anillo De Flor De Cuatro Hojas De Circonitas, diseño para Hombres Y Mujeres",$13.70
61,ANILLO GRANDE,"Anillo grande de flores vintage, ajustable.",$8.35
61,ANILLO GRANDE,"Anillo grande de flores vintage, ajustable.",$8.70
63,ARETE TREPADOR,"Pendiente trepador, clip para orejas sin perforar.",$12.45
63,ARETE TREPADOR,"Pendiente trepador, clip para orejas sin perforar.",$11.20
64,PULSERA GRANDE,Pulsera brazalete  de flores caladas,$9.95
65,ANILLO LARGO,"Anillo De Cóctel  De Vidrio Incrustado,",$7.10
66,ANILLO,Set de Anillos con Incrustaciones Luminosas de pedrería,$13.98
66,ANILLO,Set de Anillos con Incrustaciones Luminosas de pedrería,$12.85
67,PULSERA GRANDE,Brazalete dorado cuadrado geométrico ,$8.70
68,PULSERA GRANDE,Brazalete de Alas caladas,$8.95
69,PULSERA GRANDE,"Pulsera Brazalete Hierro martilado, con baño en Oro",$11.73
70,CADENA ESPALDA,Collar de Espalda con Adornos de brillos.,$13.73
71,CONJUNTO COMPLETO,"Conjunto de Joyería Geométrica Atemporal con Collar, Pulsera y Aretes.",$13.98
72,PULSERA MANO,Pulsera ajustable de hierro con diseño espiral geométrico.,$8.83
73,ARETES,Pendientes de metal Con Baño De Oro,$8.35
74,PULSERA GRANDE,Pulsera Brazalete ajustable.,$8.70
75,PULSERA Y ANILLO,Conjunto de Joyería Geométrica Atemporal con Pulsera y Anillo.,$7.18
76,PULSERA GRANDE,Pulsera grande de metal martillado,$7.23
77,PULSERA MANO,Pulsera ajustable de metal.,$8.38
78,BRAZALETE,"Brazalete de diseño geométrico, ajustable.",$8.20
79,BRAZALETE,Brazalete bañado En Oro,$9.95
80,BRAZALETE,Conjunto de brazaletes minimalistas.,$9.95
81,PULSERA,Pulsera Ajustable con brillos,$8.70
81,PULSERA,Pulsera Ajustable con brillos,$8.70
82,PULSERA,"Pulsera Ajustable De Metal, Con Estilo Minimalista.",$6.70
83,BRAZALETE,Pulsera minimalista geométrica ,$8.70
84,BRAZALETE,"Brazalete ajustable de espiral, para la parte superior del brazo, estilo boho chic",$8.35
85,PULSERA GRANDE,Pulsera Brazalete ajustable ,$8.70
86,PULSERA GRANDE,Pulsera minimalista geométrica ,$8.18
87,CADENA DE PIERNA,"Cadena de Circonita con Encaje Elástico, para Pierna.",$6.55
87,CADENA DE PIERNA,"Cadena de Circonita con Encaje Elástico, para Pierna.",$6.55
87,CADENA DE PIERNA,"Cadena con colgante y encaje elástico, para Pierna.",$9.98
87,CADENA DE PIERNA,"Cadena con colgante y encaje elástico, para Pierna.",$6.73
88,TOBILLERA,"Tobillera de cuentas, cierre ajustable.",$6.98
89,TOBILLERA,Tobillera De Cadena Con Perlas,$7.45
90,TOBILLERA,Tobillera De Cadena Fina Con Colgante bañada En Oro.,$9.95
91,TOBILLERA,Tobillera De Cadena Con Pedrería,$8.70
91,TOBILLERA,Tobillera De Cadena Con Pedrería,$10.60
92,TOBILLERA,"Tobillera Con Perlas, cierre ajustable.",$9.95
93,TOBILLERA,Tobillera de Margaritas,$8.13
94,TOBILLERA COMPLETA,Tobillera de cadena con cuentas,$7.45
94,TOBILLERA COMPLETA,Tobillera con cuentas,$7.45
